US20030122874A1: (dynamic, document, )
US10948703B2: (detect, image detector, )
US10948703B2: (image, grayscale image, )
US10948703B2: (excitation light, excitation light source, without)
US10948703B2: (configure, image system, )
US10948703B2: (light, region, )
US10948703B2: (excitation light, excitation light source, )
US10948703B2: (part, optical path, )
US10948703B2: (light, , different)
US10948703B2: (induce, excitation light source, )
US10948703B2: (sample, photoluminescence image, )
US10948703B2: (represent, grayscale image, )
US10948703B2: (irradiation, , different)
US10948703B2: (create, color image, )
US10948703B2: (use, color image, )
US10948703B2: (use, image data, )
US10948703B2: (perform, optical path, )
US20020085952A1: (return, patient, oxygenate)
US20020085952A1: (perfusion, extracorporeal blood, )
US20020085952A1: (receive, venous blood, )
US20020085952A1: (return, patient, )
US20020085952A1: (return, , oxygenate)
US20020085952A1: (include, cartridge, )
US20020085952A1: (interconnect, cartridge, )
US20020085952A1: (passageway, fluid, )
US20020085952A1: (transfer, patient, oxygenate)
US20020085952A1: (line, first tube, )
US20020085952A1: (interconnect, , least)
US20020085952A1: (one, fluid, )
US20020085952A1: (assembly, blood circuit, )
US20020085952A1: (receive, blood circuit, )
US20020085952A1: (transfer, patient, )
US20020085952A1: (transfer, , oxygenate)
US20020085952A1: (component, control unit, )
US20020085952A1: (interface, region, )
US20020085952A1: (include, region, )
US20020085952A1: (interface, cartridge, )
US20020085952A1: (pump, blood circuit, )
US20020085952A1: (first, blood circuit, )
US20020085952A1: (first, extracorporeal blood, )
US20020085952A1: (circuit, patient, )
US20020085952A1: (solution, patient, )
US20020085952A1: (flow, venous blood, )
US20020085952A1: (loop, first tube, )
US20020085952A1: (loop, blood circuit, )
US20020085952A1: (solution, second tube, )
US20020085952A1: (loop, second tube, )
US20020085952A1: (transfer, heart, oxygenate)
US20020085952A1: (end, extracorporeal blood, )
US20020085952A1: (transfer, heart, )
US20020085952A1: (back, blood, )
US20020085952A1: (back, patient, )
US20020085952A1: (transfer, venous blood, )
US20020085952A1: (reservoir, patient, )
US20020085952A1: (line, second tube, )
US20020085952A1: (include, clamp assembly, control rate)
US20020085952A1: (component, interface panel, )
US20020085952A1: (include, interface panel, )
US20020085952A1: (include, clamp assembly, )
US20020085952A1: (line, extracorporeal blood, )
US20020085952A1: (tube, cartridge, )
US20020085952A1: (assembly, , least)
US20020085952A1: (monitoring, fluid pressure, within)
US20020085952A1: (first, pressure sensor, )
US20020085952A1: (monitoring, pressure sensor, )
US20020085952A1: (monitoring, fluid pressure, )
US20020085952A1: (rate, , oxygenate)
US20020085952A1: (configure, , least)
US20020085952A1: (solution, extracorporeal blood, )
US20020085952A1: (receive, blood, )
US20020085952A1: (transfer, blood, )
US20020085952A1: (include, cartridge, )
US20020085952A1: (passageway, , least)
US20020085952A1: (interconnectable, cartridge, )
US20020085952A1: (flow, cartridge, )
US20020085952A1: (solution, , least)
US20020085952A1: (passageway, cartridge, )
US20020085952A1: (interface, region, least)
US20020085952A1: (configure, one sensor, )
US20020085952A1: (one, , pressure temperature)
US20020085952A1: (passageway, extracorporeal blood, )
US20020085952A1: (include, fluid channel, )
US20020085952A1: (include, fluid channel, )
US20020085952A1: (include, first fluid, )
US20020085952A1: (channel, first fluid, )
US20020085952A1: (interconnect, blood circuit, )
US20020085952A1: (channel, first fluid, least)
US20020085952A1: (channel, , least)
US20020085952A1: (channel, second fluid, least)
US20020085952A1: (channel, second fluid, )
US20020085952A1: (first, second fluid, )
US20020085952A1: (interconnect, third fluid, )
US20020085952A1: (channel, third fluid, )
US20020085952A1: (include, control unit, )
US20020085952A1: (first, region, )
US20020085952A1: (connect, first tube, )
US20020085952A1: (connect, second tube, )
US20020085952A1: (configure, control unit, volumetric ratio)
US20020085952A1: (configure, control unit, )
US20020085952A1: (configure, , volumetric ratio)
US20020085952A1: (solution, , oxygenate)
US20020085952A1: (establish, third fluid, )
US20020085952A1: (second, extracorporeal blood, )
US20020085952A1: (receive, , least)
US20020085952A1: (one, autologous blood, )
US20020085952A1: (vent, patient, )
US20020085952A1: (vent, blood, )
US20020085952A1: (configure, region, )
US20020085952A1: (control flow, fluid, )
US20020085952A1: (blood recovery, blood, )
US20020085952A1: (blood recovery, extracorporeal blood, )
US20020085952A1: (assembly, fluid circuit, )
US20020085952A1: (include, blood circuit, )
US20020085952A1: (disposable, region, )
US20020085952A1: (include, flow controller, control rate)
US20020085952A1: (include, flow controller, )
US20020085952A1: (first, flow fluid, )
US20020085952A1: (first, fluid circuit, )
US20020085952A1: (interconnect, flow controller, )
US20020085952A1: (configure, , selectively)
US20020085952A1: (controllable, display object, )
US20020085952A1: (provide, display object, )
US20020085952A1: (provide, functional interface, )
US20020085952A1: (user, functional interface, )
US20020085952A1: (flow, extracorporeal blood, )
US20020085952A1: (include, region, least)
US20020085952A1: (include, , least)
US20020085952A1: (one, fluid circuit, )
US20020085952A1: (monitor, fluid circuit, )
US20020085952A1: (monitor, first fluid, )
US20020085952A1: (parameter, first fluid, )
US20020085952A1: (correspond, fluid flow, )
US20020085952A1: (one, fluid flow, )
US20020085952A1: (interconnect, user interface, )
US20020085952A1: (configure, display value, )
US20020085952A1: (correspond, display value, )
US20020085952A1: (parameter, outside, )
US20020085952A1: (monitor, fluid, )
US20020085952A1: (parameter, fluid, )
US20020085952A1: (display, , least)
US20020085952A1: (display, two, )
US20020085952A1: (display, region, )
US20020085952A1: (select, region, )
US20020085952A1: (correspond, , first set)
US20020085952A1: (display, region, )
US20020085952A1: (correspond, outside, )
US20020085952A1: (correspond, extracorporeal blood, )
US20020085952A1: (display, , narrative)
US20020085952A1: (disposable, assembly component, )
US20020085952A1: (interface, assembly component, )
US20020085952A1: (interface, extracorporeal blood, )
US20020085952A1: (control flow, fluid, least)
US20020085952A1: (configure, flow controller, )
US20020085952A1: (monitoring, first sensor, )
US20020085952A1: (monitoring, first fluid, )
US20020085952A1: (circuit, first fluid, )
US20020085952A1: (adjust, flow fluid, )
US20020085952A1: (circuit, first sensor, )
US20020085952A1: (parameter, first sensor, )
US20020085952A1: (range, outside, )
US20020085952A1: (functional, object, )
US20020085952A1: (one, object, )
US20020085952A1: (user, object, )
US20020085952A1: (set, extracorporeal blood, )
US20020085952A1: (one, information set, )
US20020085952A1: (correspond, information set, )
US20020085952A1: (relation, , least)
US20020085952A1: (circuit, second fluid, )
US20020085952A1: (circuit, second fluid, )
US20020085952A1: (circuit, fluid, )
US20020085952A1: (circuit, cardiopulmonary, )
US20020085952A1: (withdraw, fluid, )
US20020085952A1: (passageway, cartridge housing, )
US20020085952A1: (connect, cardiopulmonary, )
US20020085952A1: (include, cartridge, least)
US20020085952A1: (filter, blood reservoir, )
US20020085952A1: (component, blood circuit, )
US20020085952A1: (interface, control unit, )
US20020085952A1: (sense, , least)
US20020085952A1: (one, , fluid characteristic)
US20020085952A1: (indicative, generate signal, fluid characteristic)
US20020085952A1: (indicative, generate signal, )
US20020085952A1: (indicative, , fluid characteristic)
US20020085952A1: (position, one sensor, )
US20020085952A1: (characteristic, fluid, )
US20020085952A1: (level, blood, venous)
US20020085952A1: (include, control unit, least)
US20020085952A1: (configure, flow control element, control rate)
US20020085952A1: (response, blood circuit, least)
US20020085952A1: (one, flow control element, )
US20020085952A1: (configure, flow control element, )
US20020085952A1: (configure, , control rate)
US20020085952A1: (flow, blood, )
US20020085952A1: (response, blood circuit, )
US20020085952A1: (response, , least)
US20020085952A1: (sense, fluid, )
US20020085952A1: (maintain, fluid, )
US20020085952A1: (level, blood, )
US20020085952A1: (use, extracorporeal blood, )
US20020085952A1: (include, cardiopulmonary, )
US20020085952A1: (oxygenator, blood, )
US20020085952A1: (connect, , venous)
US20020085952A1: (reservoir, venous blood, venous)
US20020085952A1: (provide, level control, )
US20020085952A1: (element, level control, )
US20020085952A1: (reservoir control, , least)
US20020085952A1: (reservoir, venous blood, )
US20020085952A1: (reservoir, , venous)
US20020085952A1: (configure, level sensor, continuously)
US20020085952A1: (provide, level sensor, )
US20020085952A1: (configure, level sensor, )
US20020085952A1: (configure, , continuously)
US20020085952A1: (provide, level signal, )
US20020085952A1: (indicative, level signal, )
US20020085952A1: (indicative, blood, )
US20020085952A1: (level, blood, )
US20020085952A1: (provide, control unit, )
US20020085952A1: (connect, control unit, )
US20020085952A1: (connect, receive level, )
US20020085952A1: (signal, receive level, )
US20020085952A1: (control operation, level control, element level)
US20020085952A1: (level, venous blood, venous)
US20020085952A1: (flow, venous blood, venous)
US20020085952A1: (connect, level control, )
US20020085952A1: (control operation, level control, )
US20020085952A1: (level, flow control element, )
US20020085952A1: (cause, flow control element, )
US20020085952A1: (increase, venous blood, )
US20020085952A1: (level, venous blood, )
US20020085952A1: (level, , venous)
US20020085952A1: (reservoir, , least)
US20020085952A1: (flow, venous blood, )
US20020085952A1: (flow, , venous)
US20020085952A1: (decrease, venous blood, )
US20020085952A1: (contain, blood, )
US20020085952A1: (contain, gaseous, )
US20020085952A1: (bubble, gaseous, )
US20020085952A1: (bubble, patient, )
US20020085952A1: (tube, blood circuit, )
US20020085952A1: (interconnect, , venous)
US20020085952A1: (oxygenator, arterial blood, )
US20020085952A1: (filter, arterial blood, )
US20020085952A1: (connect, blood perfusion, )
US20020085952A1: (system, blood perfusion, )
US20020085952A1: (opening, purge line, close position)
US20020085952A1: (air, purge line, )
US20020085952A1: (include, purge line, )
US20020085952A1: (purge valve, open position, )
US20020085952A1: (opening, open position, )
US20020085952A1: (opening, purge line, )
US20020085952A1: (inlet, purge line, venous)
US20020085952A1: (end, purge line, )
US20020085952A1: (outlet, purge line, )
US20020085952A1: (inlet, purge line, )
US20020085952A1: (inlet, , venous)
US20020085952A1: (sensor, control unit, )
US20020085952A1: (presence, gaseous, )
US20020085952A1: (line, bubble tube, )
US20020085952A1: (back, purge line, venous)
US20020085952A1: (purge valve, gaseous, )
US20020085952A1: (sensor, , least)
US20020085952A1: (air, patient, )
US20020085952A1: (back, purge line, )
US20020085952A1: (back, , venous)
US20020085952A1: (prim, extracorporeal blood, )
US20020085952A1: (include, , venous)
US20020085952A1: (cause, fluid flow, )
US20020085952A1: (prim, fluid, )
US20020085952A1: (prim, fluid valve, )
US20020085952A1: (prim, fluid valve, manner)
US20020085952A1: (prim, blood circuit, )
US20020085952A1: (controllable, blood circuit, )
US20020085952A1: (control, region, )
US20020085952A1: (prim, fluid valve, control speed)
US20020085952A1: (operational, control unit, )
US20020085952A1: (mode, control unit, )
US20020085952A1: (open, control unit, )
US20020085952A1: (pump, prime, )
US20020085952A1: (include, blood circuit, venous)
US20020085952A1: (include, blood circuit, )
US20020085952A1: (end, patient, venous)
US20020085952A1: (interconnect, extracorporeal blood, )
US20020085952A1: (end, patient, )
US20020085952A1: (end, , venous)
US20020085952A1: (end, arterial line, )
US20020085952A1: (line, cardiopulmonary, )
US20020085952A1: (leak, , pump load)
US20020085952A1: (occlusion, cardiopulmonary, )
US20020085952A1: (measure, pressure sensor, )
US20020085952A1: (pressure, cardiopulmonary, )
US20020085952A1: (cause, control unit, )
US20020085952A1: (automatically, control unit, )
US20020085952A1: (pressure, , period)
US20020085952A1: (pressure, , within)
US20020085952A1: (select, cardiopulmonary, )
US20020085952A1: (control, test mode, )
US20020085952A1: (control, extracorporeal blood, )
US20020085952A1: (remove, blood fluid, )
US20020085952A1: (end suction, patient, )
US20020085952A1: (leak, , proper)
US20020085952A1: (provide, control unit, least)
US20020085952A1: (one, pressure sensor, )
US20020085952A1: (measure, fluid pressure, )
US20020085952A1: (second, , third)
US20020085952A1: (first, , period)
US20020085952A1: (circuit, control unit, )
US20020085952A1: (circuit, test mode, )
US20020085952A1: (second, , period)
US20020085952A1: (suction, control unit, )
US20020085952A1: (operate, , third)
US20020085952A1: (pump, , third)
US20020085952A1: (pressure, , third)
US20020085952A1: (test, control unit, )
US20020085952A1: (leak, cardiopulmonary, )
US20020085952A1: (leak, blood circuit, proper)
US20020085952A1: (leak, blood circuit, )
US20020085952A1: (circuit, , proper)
US20020085952A1: (occlusion, , third)
===========================
US20040261376A1: (form, container open, top side)
US20040261376A1: (form, container open, )
US20040261376A1: (run, air filter material, )
US20040261376A1: (around, , entire)
US20040261376A1: (side, cartridge, )
US20040261376A1: (air, cartridge, outer wall)
US20040261376A1: (draw, blower, )
US20040261376A1: (air, cartridge, )
US20040261376A1: (drive, dirt, outer wall)
US20040261376A1: (drive, , pulsate)
US20040261376A1: (side, cartridge, )
US20040261376A1: (drive, dirt, )
US20040261376A1: (cleaning, dust filter, )
US20040261376A1: (air filter, cartridge, )
US20040261376A1: (filter element, , outer wall)
US20040261376A1: (hollow, central, )
US20040261376A1: (step, central, )
US20040261376A1: (air, , pulsate)
US20040261376A1: (filter cartridge, central, )
US20040261376A1: (filter, passing, outer wall)
US20040261376A1: (air, passing, )
US20040261376A1: (filter, passing, )
US20040261376A1: (filter, , outer wall)
US20040261376A1: (dust, air filter assembly, )
US20040261376A1: (feed, cartridge, )
US20040261376A1: (clean air, area, )
US20040261376A1: (pipe, feed air, )
US20040261376A1: (interior, feed air, )
US20040112023A1: (manufacturing, , low pressure drop)
US20040112023A1: (pleat, fluid filter, )
US20040112023A1: (include, fluid filter, )
US20040112023A1: (face, , capable)
US20040112023A1: (minimum, , efficiency)
US20040112023A1: (zone, , least)
US20040112023A1: (select, fibrous material, relative)
US20040112023A1: (layer, fibrous material, )
US20040112023A1: (select, fibrous material, )
US20040112023A1: (select, , relative)
US20040112023A1: (layer, , least)
US20040112023A1: (application, , filter medium)
US20040112023A1: (application, fibrous material, )
US20040112023A1: (layer, , filter medium)
US20040112023A1: (zone, , selectively)
US20040112023A1: (apply, , relative)
US20040112023A1: (estimation, spacer material, )
US20040112023A1: (combine, spacer material, )
US20040112023A1: (layer, spacer material, )
US20040112023A1: (pleat, spacer material, )
US20040112023A1: (separate, spacer material, )
US20040112023A1: (upstream, spacer material, )
US20040112023A1: (upstream, crest, )
US20040112023A1: (pleat, crest, )
US20040112023A1: (narrow, , breadth)
US20040112023A1: (manufacturing, , high efficiency)
US20040112023A1: (minimum, fluid flow, )
US20040112023A1: (pressure drop, fluid flow, )
US20040112023A1: (support, layer material, sixty)
US20040112023A1: (support, layer material, )
US20040112023A1: (square, gram, )
US20040112023A1: (range, fiber size, twenty)
US20040112023A1: (weight, fiber size, )
US20040112023A1: (range, fiber size, )
US20040112023A1: (range, , twenty)
US20040112023A1: (micrometer, , diameter)
US20040112023A1: (weight, fiber size, forty)
US20040112023A1: (micrometer, five, diameter)
US20040112023A1: (micrometer, five, )
US20040112023A1: (fine, melt blown polypropylene, )
US20040112023A1: (filter material, melt blown polypropylene, )
US20040112023A1: (weight, five, forty)
US20040112023A1: (support, , filter medium)
US20040112023A1: (additional, light weight, )
US20040112023A1: (upstream, light weight, )
US20040112023A1: (bond, polypropylene, )
US20040112023A1: (range, polypropylene, )
US20040112023A1: (weight, five, )
US20040112023A1: (addition, , selectively)
US20040112023A1: (peak, crest, sharpness)
US20040112023A1: (combine, passing, )
US20040112023A1: (apply, narrow strip, )
US20040112023A1: (hot melt, synthetic plastic, )
US20040112023A1: (one, four, )
US20040112023A1: (inch, four, )
US20040112023A1: (provide, crest, )
US20040112023A1: (peak, crest, )
US20040112023A1: (peak, , sharpness)
US20040112023A1: (le, , zero point)
US20040112023A1: (inch, five, )
US20040112023A1: (depth, , zero point)
US20040112023A1: (range, four, )
US20040112023A1: (pleat, eight, )
US20040112023A1: (combine, face layer, )
US20040112023A1: (support, face layer, )
US20040112023A1: (plus, air flow, three hundred)
US20040112023A1: (pressure drop, , zero point)
US20040112023A1: (inch, two, )
US20040112023A1: (plus, air flow, )
US20040112023A1: (stream, , least)
US20040112023A1: (three, , micron)
US20040112023A1: (ten, , high efficiency)
US20040112023A1: (first, fibrous material, )
US20040112023A1: (application, fibrous, filter medium)
US20040112023A1: (application, fibrous, )
US20040112023A1: (extend, crest, )
US20040112023A1: (downstream, filter face, )
US20040112023A1: (separate, series, selectively)
US20040112023A1: (separate, series, )
US20040112023A1: (space, narrow strip, )
US20040112023A1: (pleat, crest, )
US20040112023A1: (select, crest, )
US20040112023A1: (pressure, , high efficiency)
US20040112023A1: (material, , sixty)
US20040112023A1: (weight, fiber size, twenty)
US20040112023A1: (material, gram, sixty)
US20040112023A1: (material, gram, )
US20040112023A1: (spray, amorphous material, )
US20040112023A1: (fine, melt blown polypropylene, filter medium)
US20040112023A1: (upstream, light weight, )
US20040112023A1: (bond, light weight, )
US20040112023A1: (fine, fiber, )
US20040112023A1: (fine, loose fiber, )
US20040112023A1: (end, loose fiber, )
US20040112023A1: (upstream, , filter medium)
US20040112023A1: (combine, , filter medium)
US20040112023A1: (water, air flow, three hundred)
US20040112023A1: (water, air flow, )
US20040112023A1: (ten, , micron)
US20040112023A1: (pleat, series, )
US20040112023A1: (extend, series, )
US20040112023A1: (separate, narrow strip, )
US20040112023A1: (synthetic, spacer material, )
US20040112023A1: (extend, five, )
US20040112023A1: (treat, fluid, )
US20040112023A1: (stream, fluid, )
US20040112023A1: (include, crest, )
US20040112023A1: (include, , least)
US20040112023A1: (spacer, , cross-sectional)
US20040112023A1: (middle, area, )
US20040112023A1: (extend, flank, )
US20040112023A1: (arrange, area, )
US20040112023A1: (optimize, crest, )
US20040112023A1: (resistance, fluid, )
===========================
US20070014024A1: (element, prism, )
US20070014024A1: (light, ray, )
US20070014024A1: (advance, ray, )
US20070014024A1: (advance, object image, )
US20070014024A1: (device, object image, )
US20070014024A1: (one, prism, )
US20070014024A1: (element, optical surface, )
US20070014024A1: (element, positive power, )
US20070014024A1: (element, incident surface, least)
US20070014024A1: (element, incident surface, )
US20070014024A1: (residual, prism, )
US20070014024A1: (number, prism, )
US20070014024A1: (light, , ray pass)
US20070014024A1: (take, apparatus, )
US20070014024A1: (pass, , least)
US20070014024A1: (include one, incident surface, )
US20070014024A1: (allow, incident surface, )
US20070014024A1: (enter, ray, )
US20070014024A1: (one, incident surface, emission surface)
US20070014024A1: (one, incident surface, )
US20070014024A1: (one, , emission surface)
US20070014024A1: (reflection, ray, )
US20070014024A1: (emit, optical surface, )
US20070014024A1: (follow, positive power, conditional expression)
US20070014024A1: (follow, positive power, )
US20070014024A1: (follow, , conditional expression)
US20070014024A1: (power, prism, )
US20070014024A1: (power, , entire)
US20070014024A1: (image, optical, )
US20050018314A1: (form, plastic lens, )
US20050018314A1: (use, , material particle)
===========================
US20050044370A1: (embed, watermark pattern, )
US20050044370A1: (step, information signal, )
US20050044370A1: (set, , robust feature)
US20050044370A1: (generate, watermark pattern, )
US20050044370A1: (basis, watermark pattern, )
US20050044370A1: (signature, , dependent function)
US20050044370A1: (apply, , predefined)
US20050044370A1: (result, information signal, )
US20050044370A1: (signal, first function, )
US20050044370A1: (apply, , basic)
US20050044370A1: (detect, , basic)
US20050044370A1: (embed, information signal, )
US20050044370A1: (basis, generate signal, )
US20050044370A1: (signal, watermark pattern, )
US20050044370A1: (operation, information signal, )
US20050044370A1: (apply, information signal, )
US20050044370A1: (transmit, information signal, )
US20050044370A1: (generate, watermark pattern, )
US20050044370A1: (signature, information signal, )
US20050044370A1: (store, information signal, )
US20020009208A1: (encode, auxiliary data, )
US20020009208A1: (content, , specific)
US20020009208A1: (dependent, host signal, )
US20020009208A1: (message, watermark signal, )
US20020009208A1: (watermark, host signal, )
US20020009208A1: (medium, object, )
US20020009208A1: (array, domain, frequency coefficient)
US20020009208A1: (medium, signal frequency, )
US20020009208A1: (array, domain, )
US20020009208A1: (array, , frequency coefficient)
US20020009208A1: (select, , first set)
US20020009208A1: (value, , frequency coefficient)
US20020009208A1: (identification, document, )
US20020009208A1: (include, document, )
US20020009208A1: (embed, first image, )
US20020009208A1: (embed, watermark data, )
US20020009208A1: (print, watermark data, )
US20020009208A1: (print, document, )
US20020009208A1: (copy, first image, )
US20020009208A1: (reference, document, )
US20020009208A1: (encode, document, )
US20020009208A1: (encode, document, )
US20020009208A1: (copy, first image, manner)
US20020009208A1: (embed, watermark data, )
US20020009208A1: (embed, first image, )
US20020009208A1: (copy, first image, )
US20020009208A1: (copy, , manner)
US20020009208A1: (one, feature host, )
US20020009208A1: (medium, feature host, )
US20020009208A1: (correspond, , coefficient)
US20020009208A1: (change, , value coefficient)
US20020009208A1: (set, , difference coefficient)
US20020009208A1: (value, , first set)
US20020009208A1: (correspond, , set form)
US20020009208A1: (carry, object, )
===========================
US20050065797A1: (application, portal, )
US20050065797A1: (voice, portal, )
US20050065797A1: (run, portal server, )
US20050065797A1: (system, portal server, )
US20050065797A1: (run, voice server, )
US20050065797A1: (system, voice server, )
US20050065797A1: (network, portal server, )
US20050065797A1: (provide, navigation information, )
US20050065797A1: (voice, navigation information, )
US20050065797A1: (selection, document, )
US20050065797A1: (generator, document, )
US20050065797A1: (access, , navigation structure)
US20050065797A1: (derive, information, navigation structure)
US20050065797A1: (provide, functionality, )
US20050065797A1: (create, functionality, )
US20050065797A1: (create, document, )
US20050065797A1: (contain, document, )
US20050065797A1: (contain, portal, )
US20050065797A1: (selection, portal, )
US20050065797A1: (selection, information, )
US20050065797A1: (derive, information, )
US20050065797A1: (derive, , navigation structure)
US20050065797A1: (adder, global navigation, )
US20050065797A1: (assign, functionality, runtime)
US20050065797A1: (assign, functionality, )
US20050065797A1: (assign, , runtime)
US20050065797A1: (generate, information, )
US20050065797A1: (voice, global navigation, )
US20050065797A1: (voice, information, )
US20050065797A1: (voice, document, )
US20050065797A1: (provide, document, )
US20050065797A1: (receive, functionality, )
US20050065797A1: (receive, portal, )
US20050065797A1: (application, document, )
US20050065797A1: (assign, information, )
US20050065797A1: (assign, global navigation, )
US20050065797A1: (execute, document, )
US20050065797A1: (assign, document, )
US20050065797A1: (create, information, )
US20050065797A1: (create, execution environment, )
US20050065797A1: (provide, execution environment, )
US20050065797A1: (access, global navigation, )
US20050065797A1: (assign, document, )
US20050065797A1: (addition, execution environment, )
US20050065797A1: (voice, execution environment, )
US20050065797A1: (provide, information, )
US20050065797A1: (network, portal, )
US20050065797A1: (create, navigation information, )
US20050065797A1: (derive, navigation information, navigation structure)
US20050065797A1: (derive, navigation information, )
US20050065797A1: (provide, portal, )
US20050065797A1: (provide, document, )
US20050065797A1: (voice, information, runtime)
US20050065797A1: (voice, , runtime)
US20050065797A1: (cod, document, )
US20050065797A1: (cod, markup language, )
US20050065797A1: (application, call voice, )
US20050065797A1: (result, execution environment, )
US20050065797A1: (separate, information, )
US20050065797A1: (separate, execution environment, )
US20050065797A1: (navigation, information, )
US20020010715A1: (provide, navigation tree, semantic)
US20020010715A1: (provide, navigation tree, )
US20020010715A1: (one, path, )
US20020010715A1: (associate, path, )
US20020010715A1: (content, markup language, )
US20020010715A1: (include one, vocabulary, )
US20020010715A1: (include one, keywords, )
US20020010715A1: (traverse, path navigation, )
US20020010715A1: (perform, computer, browsing)
US20020010715A1: (include, , least)
US20020010715A1: (one, , keyword)
US20020010715A1: (perform, computer, )
US20020010715A1: (available, communication network, )
US20020010715A1: (format, markup language, style sheet)
US20020010715A1: (receive, document, )
US20020010715A1: (contain, document, )
US20020010715A1: (format, markup language, )
US20020010715A1: (format, , style sheet)
US20020010715A1: (generate, document tree, )
US20020010715A1: (generate, style, )
US20020010715A1: (use, navigation tree, style sheet)
US20020010715A1: (convert, document tree, )
US20020010715A1: (use, navigation tree, )
US20020010715A1: (use, , style sheet)
US20020010715A1: (associate, navigation tree, )
US20020010715A1: (associate, vocabulary, )
US20020010715A1: (one, vocabulary, )
US20020010715A1: (one, keywords, )
US20020010715A1: (include one, navigation tree, )
US20020010715A1: (node, path navigation, )
US20020010715A1: (include, , portion content)
US20020010715A1: (associate, , portion content)
US20020010715A1: (add, keywords, )
US20020010715A1: (include, keywords, )
US20020010715A1: (traverse, path, )
US20020010715A1: (response, vocabulary, )
US20020010715A1: (response, navigation tree, )
US20020010715A1: (derive, navigation tree, )
US20020010715A1: (derive, document content, )
US20020010715A1: (node, navigation tree, )
US20020010715A1: (associate, navigation tree, grammar)
US20020010715A1: (associate, , grammar)
US20020010715A1: (correspond, vocabulary, )
US20020010715A1: (node, navigation tree, )
US20020010715A1: (response, navigation tree, )
US20020010715A1: (node, , least)
US20020010715A1: (add, vocabulary, keyword)
US20020010715A1: (expand, , grammar)
US20020010715A1: (add, vocabulary, )
US20020010715A1: (second, navigation tree, )
US20020010715A1: (provide, first message, )
US20020010715A1: (format, document content, )
US20020010715A1: (format, markup language, )
US20020010715A1: (default, navigation tree, grammar)
US20020010715A1: (default, navigation tree, )
US20020010715A1: (default, , grammar)
US20020010715A1: (reference, , least)
US20020010715A1: (navigation, , grammar)
US20020010715A1: (associate, keywords, )
US20020010715A1: (generate, output message, )
US20020010715A1: (base, output message, )
US20020010715A1: (play, output message, )
US20020010715A1: (responsive, output message, )
US20020010715A1: (request, keywords, )
US20020010715A1: (resolve, , ambiguity)
US20020010715A1: (field, , least)
US20020010715A1: (one, keywords, )
US20020010715A1: (first, output message, )
US20020010715A1: (base, keywords, )
US20020010715A1: (field, keywords, )
US20020010715A1: (field, , keyword)
US20020010715A1: (base, output message, keyword)
US20020010715A1: (second, output message, )
US20020010715A1: (base, , keyword)
US20020010715A1: (reference, , first content)
US20020010715A1: (include, markup language, )
US20020010715A1: (content, , least)
US20020010715A1: (play, , first content)
===========================
US20050065797A1: (application, portal, )
US20050065797A1: (voice, portal, )
US20050065797A1: (run, portal server, )
US20050065797A1: (system, portal server, )
US20050065797A1: (run, voice server, )
US20050065797A1: (system, voice server, )
US20050065797A1: (network, portal server, )
US20050065797A1: (provide, navigation information, )
US20050065797A1: (voice, navigation information, )
US20050065797A1: (selection, document, )
US20050065797A1: (generator, document, )
US20050065797A1: (access, , navigation structure)
US20050065797A1: (derive, information, navigation structure)
US20050065797A1: (provide, functionality, )
US20050065797A1: (create, functionality, )
US20050065797A1: (create, document, )
US20050065797A1: (contain, document, )
US20050065797A1: (contain, portal, )
US20050065797A1: (selection, portal, )
US20050065797A1: (selection, information, )
US20050065797A1: (derive, information, )
US20050065797A1: (derive, , navigation structure)
US20050065797A1: (adder, global navigation, )
US20050065797A1: (assign, functionality, runtime)
US20050065797A1: (assign, functionality, )
US20050065797A1: (assign, , runtime)
US20050065797A1: (generate, information, )
US20050065797A1: (voice, global navigation, )
US20050065797A1: (voice, information, )
US20050065797A1: (voice, document, )
US20050065797A1: (provide, document, )
US20050065797A1: (receive, functionality, )
US20050065797A1: (receive, portal, )
US20050065797A1: (application, document, )
US20050065797A1: (assign, information, )
US20050065797A1: (assign, global navigation, )
US20050065797A1: (execute, document, )
US20050065797A1: (assign, document, )
US20050065797A1: (create, information, )
US20050065797A1: (create, execution environment, )
US20050065797A1: (provide, execution environment, )
US20050065797A1: (access, global navigation, )
US20050065797A1: (assign, document, )
US20050065797A1: (addition, execution environment, )
US20050065797A1: (voice, execution environment, )
US20050065797A1: (provide, information, )
US20050065797A1: (network, portal, )
US20050065797A1: (create, navigation information, )
US20050065797A1: (derive, navigation information, navigation structure)
US20050065797A1: (derive, navigation information, )
US20050065797A1: (provide, portal, )
US20050065797A1: (provide, document, )
US20050065797A1: (voice, information, runtime)
US20050065797A1: (voice, , runtime)
US20050065797A1: (cod, document, )
US20050065797A1: (cod, markup language, )
US20050065797A1: (application, call voice, )
US20050065797A1: (result, execution environment, )
US20050065797A1: (separate, information, )
US20050065797A1: (separate, execution environment, )
US20050065797A1: (navigation, information, )
US20040088166A1: (provide, user information, audible form)
US20040088166A1: (provide, user information, )
US20040088166A1: (correspond, information, grammar)
US20040088166A1: (receive, information, )
US20040088166A1: (correspond, information, )
US20040088166A1: (correspond, , grammar)
US20040088166A1: (correspond, access information, )
US20040088166A1: (correspond, modify information, grammar)
US20040088166A1: (correspond, modify information, )
US20040088166A1: (contain, information, )
US20040088166A1: (system, voice menu, )
US20040088166A1: (communicate, communication network, )
